AD-SaUDA	Universitat_d'Andorra
DE-725	Stadtbibliothek_Nordhorn
DE-728	Bibliothek_Waldmühle
DE-775	Stadtbücherei_Goch
DE-77	Universitätsbibliothek_Mainz
DE-797	Stadtbücherei_Rees
DE-7	Niedersächsische_Staats-_und_Universitätsbibliothek_Göttingen
DE-830	Universitätsbibliothek_der_Technischen_Universität_Hamburg-Harburg
DE-833	Stadtbibliothek_Heilbronn
DE-84	Universitätsbibliothek_Braunschweig
DE-855	Stadt-_und_Schulbücherei_Gunzenhausen
DE-863	Bibliothek_der_Hochschule_Würzburg-Schweinfurt
DE-893	Stadtbibliothek_Lörrach
DE-89	Technische_Informationsbibliothek
DE-924	Wissenschaftliche_Regionalbibliothek_Lörrach
DE-933	Stadtbücherei_Hückelhoven
DE-93	Universitätsbibliothek_Stuttgart
DE-960	Bibliothek_der_Hochschule_Hannover
DE-990	Stadtbibliothek_Weißenburg
DE-9	Universitätsbibliothek_Greifswald
DE-A99	Mikado_(Fachbibliothek)
DE-Aug10	Archiv_des_Bistums_Augsburg
DE-Aug8	Staatsarchiv_Augsburg
DE-Aug9	Stadtarchiv_Augsburg
DE-B1542	Genderbibliothek
DE-B1544	Spinnboden
DE-B1576	Bibliothek_der_Freien
DE-B1588	Bundesarchiv-Filmarchiv
DE-B1588	Filmarchiv_des_Bundesarchivs
DE-B1592	Wikimedia_Deutschland
DE-B171	Stiftung_Stadtmuseum_Berlin
DE-Bbg11	Schloss_Bernburg
DE-Bgl1	Stadtarchiv_Bergisch_Gladbach
DE-Bm3	Bibliothek_des_Ruhrgebiets
DE-Bm3	Haus_der_Geschichte_des_Ruhrgebiets
DE-Bre15	Stiftung_Frauen-Literatur-Forschung_e.V.
DE-Bre1	Staatsarchiv_Bremen
DE-Bret1	Melanchthonhaus_(Bretten)
DE-Bs92	Stadtarchiv_Braunschweig
DE-Cb2	Staatsarchiv_Coburg
DE-D207	Karl-Preusker-Bücherei
DE-D262	Stadtbibliothek_Freital
DE-Db9	Stadtarchiv_Duisburg
DE-Di1	Studienbibliothek_Dillingen
DE-Dm13	Fachhochschulbibliothek_Dortmund
DE-Due62	Hochschulbibliothek_der_Fachhochschule_Düsseldorf
DE-Ef27	Bibliothek_des_Evangelischen_Ministeriums_im_Augustinerkloster_Erfurt
DE-Em2	Johannes_a_Lasco_Bibliothek
DE-Fh1	Bodenseebibliothek
DE-Freis2	Dombibliothek
DE-Freis2	Dombibliothek_Freising
DE-H220	GIGA_Informationszentrum
DE-H221	GIGA_Informationszentrum
DE-H99	Nordelbische_Kirchenbibliothek
DE-Ha32	Marienbibliothek
DE-Hal8	Museum_Haldensleben
DE-Hav2	Prignitz-Museum
DE-Hb4	Kleist-Archiv_Sembdner
DE-Hel1	Ehemalige_Universitätsbibliothek_Helmstedt
DE-Hil6	Dombibliothek_Hildesheim
DE-Hmm1	Stadtarchiv_Hamm
DE-Hmm1	Technisches_Rathaus_Hamm
DE-Ig2	Deutsches_Medizinhistorisches_Museum
DE-Ilm1	Universitätsbibliothek_Ilmenau
DE-Kai1	Pfalzbibliothek
DE-Kn193	Historisches_Archiv_der_Stadt_Köln
DE-Kn3	Kunst-_und_Museumsbibliothek_der_Stadt_Köln
DE-Ks15	Archiv_Frau_und_Musik
DE-L282	Umweltbibliothek_Leipzig
DE-L92	Deutsche_Zentralbücherei_für_Blinde_zu_Leipzig
DE-Lsh1	Staatsarchiv_Landshut
DE-M136	Deutsche_Esperanto-Bibliothek
DE-M336	Internationale_Jugendbibliothek
DE-M462	Tolstoi-Bibliothek
DE-M512	Bayerisches_Musiker-Lexikon_Online
DE-Ma9	Universitätsbibliothek_Magdeburg
DE-Mue303	Schwarze_Witwe_(Archiv)
DE-Mue73	Diözesanbibliothek_Münster
DE-MUS-000213	Couven-Museum
DE-MUS-000322	Schloss_Seehof
DE-MUS-000426	Römerpark_Ruffenhofen
DE-MUS-000713	Suermondt-Ludwig-Museum
DE-MUS-001018	Limesmuseum
DE-MUS-001127	Kupfermuseum
DE-MUS-002026	Museum_Wäschefabrik
DE-MUS-002526	Museum_für_Puppentheaterkultur
DE-MUS-002615	Herrenhaus_Altenhof
DE-MUS-002828	Rheinhessisches_Fahrradmuseum
DE-MUS-002922	Postmuseum_Rheinhessen
DE-MUS-003925	Arche_Nebra
DE-MUS-004715	Stiftsmuseum_der_Stadt_Aschaffenburg
DE-MUS-005114	Südsauerlandmuseum
DE-MUS-005312	Mozarthaus
DE-MUS-005510	Staatsgalerie_in_der_Katharinenkirche
DE-MUS-006617	Federseemuseum
DE-MUS-007714	Stiftung_Bundeskanzler-Adenauer-Haus
DE-MUS-007927	Willy-Brandt-Haus_Lübeck
DE-MUS-008628	Römerhalle
DE-MUS-008717	Agnes-Miegel-Haus
DE-MUS-008915	Deutsches_Märchen-_und_Wesersagenmuseum
DE-MUS-009225	Museum_Brandhorst
DE-MUS-010017	Salzmuseum
DE-MUS-010428	Sammlung_Boros
DE-MUS-010517	Museum_im_Steinhaus
DE-MUS-010626	Archäologisches_Landesmuseum_im_Paulikloster
DE-MUS-011025	Deutsches_Zusatzstoffmuseum
DE-MUS-011114	Deutsches_Musikautomaten_Museum
DE-MUS-011129	Internationales_Maritimes_Museum_Hamburg
DE-MUS-011614	Museum_für_Waage_und_Gewicht
DE-MUS-012117	Naturkunde-Museum
DE-MUS-012528	Museum_DKM
DE-MUS-012617	Museum_der_Grafschaft_Rantzau
DE-MUS-012815	Deutsches_Freimaurer-Museum
DE-MUS-013427	Dokumentationsstätte_Regierungsbunker
DE-MUS-014613	Salzbergwerk_Berchtesgaden
DE-MUS-014628	Parkhöhle
DE-MUS-015012	Bergisches_Museum_für_Bergbau,_Handwerk_und_Gewerbe
DE-MUS-015829	Johanniterhalle
DE-MUS-015923	Museum_Biedermann
DE-MUS-016124	Museum_für_Kunst_und_Technik_des_19._Jahrhunderts
DE-MUS-016213	Botanisches_Museum_Berlin-Dahlem
DE-MUS-016317	Brücke-Museum
DE-MUS-016411	Deutsches_Rundfunk-Museum
DE-MUS-016426	Gedenkstätte_Stille_Helden
DE-MUS-017023	Buchstabenmuseum
DE-MUS-017112	Georg-Kolbe-Museum
DE-MUS-017325	Galerie_Schmela
DE-MUS-017627	Schloss_Wolkenburg
DE-MUS-018328	Museum_Kunst_der_Westküste
DE-MUS-019910	Bröhan-Museum
DE-MUS-020415	Deutsches_Technikmuseum
DE-MUS-020519	Gedenkstätte_Deutscher_Widerstand
DE-MUS-020524	Lokwelt_Freilassing
DE-MUS-020613	Zucker-Museum
DE-MUS-021616	Hinterlandmuseum
DE-MUS-021918	Kunsthalle_Bielefeld
DE-MUS-021923	Deutsch-deutsches_Freilandmuseum
DE-MUS-022619	Eifelmuseum_Blankenheim
DE-MUS-022728	Walchensee-Museum
DE-MUS-022822	Mithraeum
DE-MUS-023018	Heimatmuseum_des_Nordböhmischen_Niederlandes
DE-MUS-023216	Deutsches_Bergbau-Museum
DE-MUS-024219	Beethoven-Haus
DE-MUS-024615	Rheinisches_Landesmuseum_Bonn
DE-MUS-024719	Kunstmuseum_Bonn
DE-MUS-025618	Quadrat_Bottrop
DE-MUS-026220	Kunsthalle_Weishaupt
DE-MUS-026715	Braunschweigisches_Landesmuseum
DE-MUS-026819	Herzog_Anton_Ulrich-Museum
DE-MUS-026913	Raabe-Haus
DE-MUS-027223	Rheinisches_Schützenmuseum_Neuss
DE-MUS-027327	Museum_Humpis-Quartier
DE-MUS-027614	Kunsthalle_Bremen
DE-MUS-027812	Museum_im_Roselius-Haus
DE-MUS-028013	Deutsches_Schiffahrtsmuseum
DE-MUS-028211	Historisches_Museum_Bremerhaven
DE-MUS-028726	Schloss_Höchstädt
DE-MUS-028815	Schloss_Bruchsal
DE-MUS-029125	Kanzlerbungalow
DE-MUS-029427	Dynamikum
DE-MUS-030026	Hohenasperg_-_Ein_deutsches_Gefängnis
DE-MUS-030422	Hagnauer_Museum
DE-MUS-030813	Staatsgalerie
DE-MUS-031014	Museum_der_Stadt_Butzbach
DE-MUS-031227	me_Collectors_Room_Berlin
DE-MUS-031618	Bomann-Museum
DE-MUS-031925	Museumsbauernhof_Wennerstorf
DE-MUS-033114	KZ-Gedenkstätte_Dachau
DE-MUS-033327	Emilianusstollen
DE-MUS-033510	Eisenbahnmuseum_Darmstadt-Kranichstein
DE-MUS-033718	Hessisches_Landesmuseum
DE-MUS-034117	Wella_Museum
DE-MUS-034315	Hermann-Grochtmann-Museum
DE-MUS-034919	Lippisches_Landesmuseum
DE-MUS-035110	Museum_Schloss_Fechenbach
DE-MUS-035323	Caspar-David-Friedrich-Institut
DE-MUS-035610	Stadt-_und_Hochstiftmuseum
DE-MUS-037116	Kultur-_und_Stadthistorisches_Museum_Duisburg
DE-MUS-037616	Theatermuseum_der_Landeshauptstadt_Düsseldorf
DE-MUS-038015	museum_kunst_palast
DE-MUS-038317	Aquazoo-Löbbecke_Museum
DE-MUS-039716	Domschatz-_und_Diözesanmuseum_Eichstätt
DE-MUS-039810	Jura-Museum
DE-MUS-042019	Deutsches_Elfenbeinmuseum_Erbach
DE-MUS-043116	Städtische_Galerie_Erlangen
DE-MUS-043814	Museum_Folkwang
DE-MUS-043918	Ruhr_Museum
DE-MUS-044619	Ostholstein-Museum
DE-MUS-045414	Museumsberg_Flensburg
DE-MUS-047316	Museum_für_Angewandte_Kunst_Frankfurt
DE-MUS-047618	Museum_der_Weltkulturen
DE-MUS-047712	Archäologisches_Museum_Frankfurt
DE-MUS-047910	Naturmuseum_Senckenberg
DE-MUS-048017	Städelsches_Kunstinstitut_und_Städtische_Galerie
DE-MUS-048319	Glasmuseum_Frauenau
DE-MUS-048413	Augustinermuseum
DE-MUS-049510	Wetterau-Museum
DE-MUS-049812	Heimatmuseum_Seulberg
DE-MUS-050817	Vonderau-Museum
DE-MUS-051716	Theodor-Mommsen-Gedächtnis
DE-MUS-051810	Königshaus_am_Schachen
DE-MUS-052313	Kunstmuseum_Gelsenkirchen
DE-MUS-053816	Liebig-Museum
DE-MUS-055718	Mönchehaus_Museum_für_moderne_Kunst
DE-MUS-056815	Niederrheinisches_Freilichtmuseum
DE-MUS-057714	Siebenbürgisches_Museum
DE-MUS-058113	Landschaftsmuseum_Westerwald
DE-MUS-058717	LWL-Römermuseum
DE-MUS-058811	Altonaer_Museum
DE-MUS-059210	Hamburger_Kunsthalle
DE-MUS-059314	Museum_für_Völkerkunde_Hamburg
DE-MUS-059418	Helms-Museum
DE-MUS-059918	Museum_für_Kunst_und_Gewerbe
DE-MUS-060111	Museumsdorf_Volksdorf
DE-MUS-067518	Urwelt-Museum_Hauff
DE-MUS-068615	Otto-Pankok-Museum
DE-MUS-068917	Theodor-Storm-Haus
DE-MUS-069316	Schwäbisches_Bauernhofmuseum
DE-MUS-069712	Bayerisches_Armeemuseum
DE-MUS-069816	Deutsches_Medizinhistorisches_Museum
DE-MUS-069910	Stadtmuseum_Ingolstadt
DE-MUS-070217	Deutsches_Höhlenmuseum_Iserlohn
DE-MUS-072713	Städtische_Galerie_Karlsruhe
DE-MUS-073018	Brüder_Grimm-Museum_Kassel
DE-MUS-073310	Spohr_Museum
DE-MUS-074115	Isergebirgs-Museum_Neugablonz
DE-MUS-075118	Allgäu-Museum
DE-MUS-076017	Kunsthalle_zu_Kiel
DE-MUS-076215	Museum_für_Völkerkunde_der_Universität_Kiel
DE-MUS-076319	Schleswig-Holsteinisches_Freilichtmuseum_e.V.
DE-MUS-076819	Sandelsches_Museum
DE-MUS-077312	Deutsches_Fastnachtmuseum
DE-MUS-078117	KOLUMBA
DE-MUS-078315	Museum_für_Lackkunst
DE-MUS-078513	Kölnisches_Stadtmuseum
DE-MUS-078711	Museum_für_Ostasiatische_Kunst
DE-MUS-078815	Rautenstrauch-Joest-Museum
DE-MUS-078919	Römisch-Germanisches_Museum
DE-MUS-079016	Museum_Schnütgen
DE-MUS-079318	Deutsches_Zollmuseum
DE-MUS-079610	Siebengebirgsmuseum
DE-MUS-081618	Mittelschwäbisches_Heimatmuseum
DE-MUS-081816	Deutsches_Zinnfigurenmuseum
DE-MUS-082215	Lobdengau-Museum
DE-MUS-083218	Burg_Trausnitz
DE-MUS-083416	Stadtresidenz_Landshut
DE-MUS-083916	Töpfereimuseum_Langerwehe
DE-MUS-084117	Elbschiffahrtsmuseum
DE-MUS-084211	Burg_Lauenstein
DE-MUS-084617	Museum_zur_Geschichte_von_Christen_und_Juden
DE-MUS-085818	Museum_Morsbroich
DE-MUS-086613	Schloss_Linderhof
DE-MUS-087314	Museum_am_Burghof
DE-MUS-087814	Katharinenkirche
DE-MUS-089018	Städtisches_Museum_Ludwigsburg
DE-MUS-089112	Stadtmuseum_Ludwigshafen
DE-MUS-089216	Wilhelm-Hack-Museum
DE-MUS-089310	Altes_Rathaus
DE-MUS-090315	Gutenberg-Museum
DE-MUS-090513	Landesmuseum
DE-MUS-090711	Naturhistorisches_Museum_Mainz
DE-MUS-090919	Römisch-Germanisches_Zentralmuseum
DE-MUS-091110	Kunsthalle
DE-MUS-091214	Reiss-Engelhorn-Museen
DE-MUS-091516	Schiller-Nationalmuseum
DE-MUS-092019	Skulpturenmuseum_Glaskasten
DE-MUS-092415	Freilichtmuseum_Massing
DE-MUS-093512	Dithmarscher_Landesmuseum
DE-MUS-095716	Städtisches_Museum_Abteiberg
DE-MUS-096417	Alte_Pinakothek
DE-MUS-096813	Geologisches_Museum_München
DE-MUS-096917	Paläontologisches_Museum_München
DE-MUS-097014	Bayerisches_Nationalmuseum
DE-MUS-097118	BMW_Museum
DE-MUS-097410	Deutsches_Museum
DE-MUS-097514	Glyptothek
DE-MUS-097712	Marstallmuseum
DE-MUS-098017	Münchner_Stadtmuseum
DE-MUS-098111	Museum_Villa_Stuck
DE-MUS-098215	Neue_Pinakothek
DE-MUS-098517	Residenzmuseum
DE-MUS-098611	Sammlung_Schack
DE-MUS-098913	Staatliche_Antikensammlungen
DE-MUS-099114	Staatliche_Münzsammlung
DE-MUS-099312	Staatliches_Museum_für_Völkerkunde
DE-MUS-099416	Städtische_Galerie_im_Lenbachhaus
DE-MUS-099510	Deutsches_Theatermuseum
DE-MUS-099614	Valentin-Musäum
DE-MUS-100818	LWL-Landesmuseum_für_Kunst_und_Kulturgeschichte
DE-MUS-100912	LWL-Museum_für_Naturkunde
DE-MUS-101415	Oberpfälzer_Freilandmuseum_Neusath-Perschen
DE-MUS-101811	Burg_Hornberg
DE-MUS-102918	Zeppelin-Museum_Zeppelinheim
DE-MUS-103713	Stadtmuseum_Neustadt_an_der_Waldnaab
DE-MUS-105011	Paläontologisches_Museum_Nierstein
DE-MUS-105615	Germanisches_Nationalmuseum
DE-MUS-106118	Kunsthalle_Nürnberg
DE-MUS-106316	Naturhistorisches_Museum
DE-MUS-106618	DB_Museum_im_Verkehrsmuseum_Nürnberg
DE-MUS-106712	Albrecht-Dürer-Haus
DE-MUS-106910	Stadtmuseum_Fembohaus
DE-MUS-107017	Museum_Tucherschloss_mit_Hirsvogelsaal
DE-MUS-107413	Römermuseum_Obernburg
DE-MUS-108510	Vortaunusmuseum
DE-MUS-109013	Klingspor-Museum
DE-MUS-109117	Haus_der_Stadtgeschichte
DE-MUS-109617	Landesmuseum_Natur_und_Mensch
DE-MUS-112118	Schmuckmuseum_Pforzheim
DE-MUS-113819	Erinnerungsstätte_für_die_Freiheitsbewegungen_in_der_deutschen_Geschichte
DE-MUS-114114	Wehrgeschichtliches_Museum_Rastatt
DE-MUS-114416	Ernst-Barlach-Museum
DE-MUS-114510	Kreismuseum_Herzogtum_Lauenburg
DE-MUS-115711	Kunstforum_Ostdeutsche_Galerie
DE-MUS-116214	Deutsches_Röntgen-Museum
DE-MUS-116714	Naturkundemuseum
DE-MUS-117019	Falkenhof-Museum
DE-MUS-118918	Rheingauer_Weinmuseum
DE-MUS-122516	Lenbachmuseum
DE-MUS-123311	Museum_und_Galerie_der_Stadt_Schwabmünchen
DE-MUS-123415	Museum_der_Schwalm
DE-MUS-125317	Hegau-Museum
DE-MUS-125515	Burghofmuseum
DE-MUS-126112	Museum_Soltau
DE-MUS-126810	Historisches_Museum_der_Pfalz
DE-MUS-127511	Museum_Starnberger_See
DE-MUS-127813	Meteorkrater-Museum
DE-MUS-127917	Urmensch-Museum
DE-MUS-128316	Gäubodenmuseum
DE-MUS-129517	Porsche_Museum
DE-MUS-129913	Staatsgalerie_Stuttgart
DE-MUS-130210	Landesmuseum_Württemberg
DE-MUS-131713	Neues_Schloss_Tettnang
DE-MUS-131911	Bergbau-_und_Industriemuseum_Ostbayern
DE-MUS-133011	Karl-Marx-Haus
DE-MUS-133115	Rheinisches_Landesmuseum
DE-MUS-133219	Stadtmuseum_Simeonstift_Trier
DE-MUS-133313	Museum_Auberlehaus
DE-MUS-133813	Kloster_Bebenhausen
DE-MUS-134816	Suso-Haus
DE-MUS-135017	Luftwaffenmuseum_der_Bundeswehr
DE-MUS-135319	Museum_der_Brotkultur
DE-MUS-135517	Ulmer_Museum
DE-MUS-136416	Museum_Uslar
DE-MUS-139519	Schwedenspeicher-Museum
DE-MUS-139717	Museum_Abtei_Liesborn
DE-MUS-142510	Hebbel-Museum
DE-MUS-144516	Forum_der_Völker
DE-MUS-145019	Jerusalemhaus
DE-MUS-145113	Lottehaus
